"","Quantiseq_B.cells","Quantiseq_Macrophages.M1","Quantiseq_Macrophages.M2","Quantiseq_Monocytes","Quantiseq_Neutrophils","Quantiseq_NK.cells","Quantiseq_T.cells.non.regulatory","Quantiseq_CD8.cells","Quantiseq_T.cells.regulatory","Quantiseq_Dendritic.cells","Quantiseq_uncharacterized_cell"
"SAM7f0d9cc7f001",0.0502109876607111,0.0242619666770981,0.04255419434694,0,0.16895713456508,0.0234024398285748,0.0107080406767608,0.00459585888944252,0.0306341266272337,0,0.644675250728159
"SAM4305ab968b90",0.00860392894906503,0,0.0235417119395243,0,0.101526067971334,0.00945530425166237,0,0,0.000552479941759361,0,0.856320506946655
"SAMcf018fee2acd",0.0428576076854948,0,0.0987076719983699,0,0.141119574184157,0.0143432714682216,0,0.000454475500468901,0.0207888231394818,0,0.681728576023806
"SAMcc4675f394a1",0.0252164393817904,0.00584982577039157,0.033669047278949,0,0.0991749913967225,0.0222118864653638,0,0,0.00317939135656514,0,0.810698418350218
"SAM49f9b2e57aa5",0.0226689578304346,0,0.0129239993810651,0,0.127357535960503,0.00800140575818173,0,0,0.00690470725716448,0,0.822143393812651
"SAM2e7aa8fa0ab3",0.012022509813882,0,0.0178134783985179,0,0.361187502786615,0.00423237858233491,0,0.000672259963510146,0.00358311301107823,0,0.600488757444062
"SAMdf3e42c8672a",0.0141023008492702,0.0133484846595088,0.0107701921218855,0,0.102327367009169,0.00492824099263743,0,0.00547740123460368,0.0111523898014365,0,0.837893623331489
"SAMd027124354ce",0.015159032269808,0,0.00826549577054079,0,0.237095980650688,0.0102156116159796,0.0135241831081945,0,0.00109766800389115,0,0.714642028580897
"SAMe7bf6c015192",0.036139972613183,0.0188676983018642,0.0287818524980469,0,0.102753287124328,0.0211572007753076,0,0.00719597477041707,0.0300584807951808,0,0.755045533121673
"SAM6dd7ad1d797d",0.0212122253081978,0.0484796927837777,0.0269485342468054,0,0.179236686368732,0.00992855380813414,0,0.00156632765191648,0.0360804666928421,0,0.676547513139595
"SAM18039827e1b9",0.0190470618466856,0,0.0434830031019411,0,0.170681694106794,0.00687906130060676,0,0,0.00443322907447613,0,0.755475950569497
"SAMc692536a795a",0.0367809448411761,0.00844651672944256,0.0475628621053713,0,0.10045894973635,0.0159631687073334,0,0.00116746232032967,0.0261518820980939,0,0.763468213461903
"SAM9a2cf3c06fb3",0.0406319650553071,0.0248582690252964,0.109682158102429,0,0.172159500193192,0.0199729999406157,0.0152684396343276,0.00174415685113209,0.0219198380541334,0,0.593762673143567
"SAM557dde1b9f3e",0.0338527453836446,0.00651339670169199,0.0431731476165631,0,0.0756951881920704,0.0190775485736105,0,0.00339638365680999,0.036663467423649,0,0.78162812245196
"SAM23aa15d4a0b0",0.0279395723411648,0.0028345745009725,0.0391328795880232,0,0.127319463427418,0.010474710481232,0,0,0.0132717179253355,0,0.779027081735854
"SAM468a9e1dc821",0.0158222339288886,0.00242599322611244,0.0149353335362295,0,0.110738219227486,0.00880181655981941,0,0,0.00214112742721331,0,0.845135276094251
"SAM81b71522417a",0.0136418257991099,0,0.00836810375697142,0,0.149234994482894,0.00714492614589237,0.00442348402563489,0,0,0,0.817186665789498
"SAMb963dda93cfd",0.0201159108765135,0.0192488924080454,0.0343903937642227,0,0.0801163473286301,0.0127217563753076,0,0.00228669652527479,0.0207347462433645,0,0.810385256478642
"SAMbcbc7957c264",0.0272530433587168,0,0.0250403621691454,0,0.0792697206035988,0.0086510259006237,0,0,0.00814548215989629,0,0.851640365808019
"SAM7fb6987514a4",0.0547000522738444,0.0208700259772412,0.0443323317774618,0,0.115967915825648,0.0290480448776416,0.0459440161847392,0.031889084861649,0.0652075291857726,0,0.592040999036003
"SAM63405b04ab2d",0.0159876491313758,0.000335870976439211,0.0228751537758115,0,0.211825850785534,0.00720702312232441,0,0.00284094230077953,0.0132126990522748,0,0.725714810855461
"SAM18bc1078bc15",0.0453125769974257,0.00671756334141246,0.0278282301119336,0,0.0999246319313063,0.0110129786055923,0,0.00438074302925798,0.0137907921041262,0,0.791032483878945
